{'cause': 'Prestige & Access', 'effect': 'Nobel Laureate Density'}
{'cause': 'Cultural Support System', 'effect': 'Nobel Laureate Density'}
{'cause': 'Serendipity & Chance', 'effect': 'Nobel Laureate Density'}
{'cause': 'Competition & Pressure', 'effect': 'Nobel Laureate Density'}
{'cause': 'Evaluation Biases', 'effect': 'Nobel Laureate Density'}
{'cause': 'High Chocolate Consumption', 'effect': 'Cardiovascular Risks'}
{'cause': 'High Chocolate Consumption', 'effect': 'Heart Health Benefits'}
{'cause': 'High Chocolate Consumption', 'effect': 'Obesity and Diabetes Risks'}
{'cause': 'High Chocolate Consumption', 'effect': 'Mood Boosting Effects'}
{'cause': 'High Chocolate Consumption', 'effect': 'Cancer Risks'}
{'cause': 'Social Status Seeking', 'effect': 'Prestige & Access'}
{'cause': 'Personal Recognition Quest', 'effect': 'Prestige & Access'}
{'cause': 'Systemic Inequality Roots', 'effect': 'Prestige & Access'}
{'cause': 'Cultural Competence', 'effect': 'Cultural Support System'}
{'cause': 'Remote Work Challenges', 'effect': 'Cultural Support System'}
{'cause': 'Experiential Learning Opportunities', 'effect': 'Cultural Support System'}
{'cause': 'Social Network Serendipity', 'effect': 'Serendipity & Chance'}
{'cause': 'Subconscious Pattern Recognition', 'effect': 'Serendipity & Chance'}
{'cause': 'Quantum Serendipity Principle', 'effect': 'Serendipity & Chance'}
{'cause': 'Innovation Stress', 'effect': 'Competition & Pressure'}
{'cause': 'Unrealistic Expectations', 'effect': 'Competition & Pressure'}
{'cause': 'Internalized Pressure', 'effect': 'Competition & Pressure'}
{'cause': 'Cognitive Limitations', 'effect': 'Evaluation Biases'}
{'cause': 'External Pressures', 'effect': 'Evaluation Biases'}
{'cause': 'Data Flaws', 'effect': 'Evaluation Biases'}
{'cause': 'Cardiovascular Risks', 'effect': 'Cardiovascular Disease Risk'}
{'cause': 'Cardiovascular Risks', 'effect': 'Physical Activity Benefits'}
{'cause': 'Cardiovascular Risks', 'effect': 'Dietary Risk Factors'}
